Computer Science,Math,Statistics,Machine learning,"Domain expertise (i.e., some real world application area)",Communication and presentation skills,Data visualization,Have you taken CPSC 483 Introduction to Machine Learning (previously called Data Mining and Pattern Recognition)?,Do you plan to take CPSC 483 Introduction to Machine Learning (previously called Data Mining and Pattern Recognition)?,Are you a computer science major?,"On a scale of 1-10, how familiar are you with R?","On a scale of 1-10, how familiar are you with Python?",Any hobbies/interests you would like to share?
9,8,6,3,7,6,5,No,No,Yes,5,9,Football
7,7,7,3,6,7,7,No,Yes,Yes,6,8,"reading, gym, games"
7,8,8,2,8,9,4,No,Yes,Yes,6,9,N/A
10,7,8,3,1,6,5,No,Yes,Yes,8,9,
7,4,7,4,2,6,5,No,Yes,Yes,8,8,
7,7,7,4,5,8,6,No,Yes,Yes,1,5,
6,8,8,3,5,6,8,No,Yes,Yes,2,5,Travel
7,3,4,3,8,4,3,No,No,Yes,1,9,"Music festivals, traveling, astrophotography"
4,3,3,8,8,3,3,No,Yes,Yes,10,5,
7,6,7,5,6,6,6,No,Yes,Yes,6,5,
6,8,10,3,1,7,5,No,Yes,Yes,3,7,
7,7,6,5,5,8,8,No,No,Yes,6,7,"Reading, baking "
6,7,7,5,6,9,6,No,No,Yes,6,5,"Video Games, Movies, and Comics"
9,8,6,3,7,7,5,No,No,Yes,6,8,I like watching sports and playing them.
10,10,10,10,10,10,10,No,No,Yes,1,10,None
8,6,6,1,7,4,5,No,No,Yes,5,8,Selfhosting
6,7,4,7,5,4,4,No,Yes,Yes,4,8,Interested in AI applications in healthcare 
5,5,5,3,5,5,5,No,No,Yes,3,5,
7,7,7,5,7,10,5,No,Yes,Yes,1,8,I play gymnastics 
6,6,6,6,6,7,7,No,No,Yes,1,7,Video Games
8,6,6,6,4,4,8,No,Yes,Yes,1,10,Movies
6,5,5,2,4,5,5,No,No,Yes,3,5,
6,3,2,1,5,9,1,No,No,Yes,5,8,"Working out, cooking, hiking, playing video games"
8,9,7,6,7,10,9,No,Yes,Yes,10,10,Game development
7,8,8,2,2,8,1,No,No,Yes,5,8,I like playing videogames and basketball.
7,7,7,4,6,8,9,No,Yes,Yes,3,8,"I like working out in my free time, as well as watching F1"
6,8,8,4,6,9,6,No,No,Yes,5,7,"Cinematography, playing guitar, sleeping"
7,7,3,1,1,10,7,No,No,Yes,2,4,Surfing
2,4,2,1,1,2,1,No,No,Yes,1,3,I been taking a break from computer classes so I might have lost some skills that I have learned before 
6,8,7,1,1,7,6,No,Yes,Yes,7,7,working out and eating 
8,10,9,2,1,7,6,No,,Yes,7,9,Like to play Video Games during my free time
7,8,8,2,2,9,8,No,No,Yes,1,8,Gaming and drawing
4,8,9,3,3,5,6,No,Yes,Yes,1,6,crocheting
7,9,7,5,7,7,7,Yes,No,Yes,3,9,
7,8,8,6,5,10,10,No,No,Yes,8,7,"Reading, Banking, Travel"
5,8,5,2,4,9,8,No,Yes,Yes,1,5,Soccer
7,8,7,5,5,7,9,No,No,Yes,7,10,N/A
7,8,6,3,5,7,5,No,Yes,Yes,7,5,
8,5,4,1,1,6,5,No,Yes,Yes,6,2,
7,8,7,1,1,8,6,No,No,Yes,1,5,Some hobbies of mine are playing golf and video games
5,7,7,8,5,6,6,Yes,No,Yes,8,4,Cars
